page,image_file,binomial,photographer,source_url,license,license_url
"docs/herbs/Arenga_wightii_Griff_-_Wight's_sago_palm,_ಬೆಟ್ಟ_ತೆಂಗು,_Alampanai,_Alattiltenna,_Dhudsal.md",Arenga_wightii_Griff_-_Flickr_-_dinesh_valke.jpg,Arenga wightii Griff,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53529410340,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Argyreia_elliptica_-_Elliptic-leaved_silverweed,_ಉಗನಿ_ಬಳ್ಳಿ,_Unan,_Kappatiga,_Adambuvalli,_Bondvel.md",Argyreia_elliptica_-_Flickr_-_dinesh_valke.jpg,Argyreia elliptica,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/55235754419,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
"docs/herbs/Artabotrys_zeylanicus_hook_-_Ceylon_green_champa,_ಮನೋರಂಜಿನಿ_ಬಳ್ಳಿ,_Manoranjitham,_Ran_chapha.md",Artabotrys_zeylanicus_hook_-_Flickr_-_dinesh_valke.jpg,Artabotrys zeylanicus hook,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53487679092,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Artemisia_nilagirica_-_Indian_wormwood,_ಮಾಚಿಪತ್ರೆ,_Damanak,_Maci-pattiri,_Davanamu,_Ananta-pacca,_Dhor_davana.md",Artemisia_nilagirica_-_Flickr_-_dinesh_valke.jpg,Artemisia nilagirica,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/5254164477,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Asystasia_dalzelliana_santapau_-_Dalzell's_asystasia,_ಮೆದ್ಧೆ_ಸೊಪ್ಪು,_Uppiliyan,_Neelkanth.md",Asystasia_dalzelliana_santapau_acanthaceae_-_Flickr_-_dinesh_valke.jpg,Asystasia dalzelliana santapau,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/1250852579,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Atalantia_racemosa_-_Bombay_atalantia,_ಹುಚ್ಚು_ನಿಂಬೆ,_Kuruntu,_Adavi_nimma,_Kattunarakam,_Makad_limbu.md",Atalantia_racemosa_-_Flickr_-_dinesh_valke.jpg,Atalantia racemosa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/6841545013,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Breynia_retusa_-_Cupped_coral_berry_tree,_ಬಿಳೀಸುಲಿ,_Kaji,_Mullu-Vengai,_Kora_maddi,_Perunniruri,_Asana.md",Breynia_retusa_euphorbiaceae_-_Flickr_-_dinesh_valke.jpg,Breynia retusa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/8893512265,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Bridelia_montana.md,Bridelia_montana_-_Flickr_-_dinesh_valke.jpg,Bridelia montana,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/52456136576,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Brugmansia_suaveolens_-_Angel's_trumpet,_Dhatura,_Madulam,_Ummata.md",Brugmansia_suaveolens_-_Flickr_-_dinesh_valke.jpg,Brugmansia suaveolens,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/33587011468,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Bruguiera_gymnorrhiza_-_Black_mangrove,_ಕೊಳಚೆ_ಗಿಡ,_Sigapukokandam,_Dudduponna,_Kantal,_Zumbar.md",Bruguiera_gymnorrhiza_evergreen_-_Flickr_-_dinesh_valke.jpg,Bruguiera gymnorrhiza,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/7211154640,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Capparis_spinosa_-_Ceper_Plant,_Kabara,_Jeevakamu.md",Capparis_spinosa_-_Flickr_-_dinesh_valke.jpg,Capparis spinosa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/6720216305,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
